kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
ta'a,biar,- akuku lako mogalu,bi saya tidak pergi bersawah
taahori,belum,i batulu mababo,I tulu belum mandi
taasi,tas,lakoto aleikona - ngg pergilah ambilkan tasku,
"tabe, patabei",hormati,imbe barisi mokole,kalian berbaris mer
tadohoro.,kolong,- laokano mokosisi,kolong rumahnya kotor
"taha, motaha",masak,i bangga laa taipa -,ada mangga masak di perahu
tahai,tahan,no - o oto,dia tahan oto
tahori,belum,uhu-uhuo no peohaki ano - leu,kalau-kalau ia sakit sehingga ia belum datang
ta'i,ampas,- nggaluku,ampas kelapa
ta'inahu,daging,no poalo purundawa ronga -,dia mengambil sayur dan daging
meta'inahu,makan dengan daging,iee -,dia makan dengan daging
"taka, anotumako lalu",mengudik,pawiso iwowa sambara -,masuk ke muara Sambara lalu mengudik menuju ke hulu
anotakario,dia mengudik,pewiso iwowa sambara anutomako aalaano konawe'eha,masuklah di muara Sambara lalu dia mengudik ke sungai Konawe'eha
takule,belimbing,puu - nggiro'o meitaito,pohon belimbing itu sudah tinggi
"tale, tetale",berhamburan,morosi'i no - hapo-hapomu,keterlaluan barang-barangmu berhamburan
"talia, montalia",memindahkan,i bio -,
tumaliai,pindahkan,- taipa nggi ro'o,"pindahkan mangga itu; anopetalia supaya pindah tempat nopo'orikeeto Tolohoru - mong gaa, sudah dia panggil Tolohon supaya pindah tempat untul makan"
tamate,tomat,i saira mo'oli -,Sair membeli tomat
tamba,usir,- ito ano lako ari i laika usrilah dia pergi dari rumah,
"tambi, tetambi",tercecer,- ito doinggu,uangku tercecer
"tambino, satetambino begitu",tercecer,- lau-launo lumolahai,bebitu tercecer dia cari lesung
tambo,pintu,kunde-kundei - no,ketuk pintunya
tambuoki,tidak ada,luwuako - otuono,semua tidak ada gunanya
tambuoto,sudah tidak ada,- ano motuono,sudah tidak ada orang tuanya
tamo,nama,zo'ono laa lako i daoa no i naa,orang yang pergi ke pasar nama Aba
metamoako,bernama,anano - i saira,anaknya bernama Sairah
metamo'ako,yang bernama,anawai nggolete-lete,yang bernama bidadari mengkilat-kilat
memetamoako,yang bernama,- Bio laa mongga sanggara,yang bernama Bio sementara makan pisang goreng
tamoika,sebutkan,aupodea'i aku - nggopekadimu,engkau dengarkan saya sebutkan untuk namamu
autamoako,engkau sebut saja,hongo'itokaa ni'ino motia - akutolaa i kitu,"rendam saja permata ini engkau sebut saya, saya sudah ada di situ"
anda,semacam saringan,ale'i - mina tana,ambil saringan minyak tanah
asondanda,satu kata,no'oliwikee kakano tulura - dia pesankan,
"andamua, totandamua",terpelanting,- laakonoto merodaoho nekasu owosw,terpelanting lalu terpukul ke kayu besar
"andu, matandu","pasti, jelas",- ito no leu,sudah pasti dia datang
"anggali, metanggali",mencangkul,roromambusu to'ono lako ito -,pagi-pagi sekali orang sudah pergi mencangkul
tangge,tangkai,ku ponggii pu'u nggasu mendaa - no,saya melihat pohon kayu panjang tangkainya
"tanggo, tetanggo",tersangkut,no wawo pu'u nggasu,tersangkut d di atas pohon kayu
tanggule,belimbing,ku kiio laa mt ruru wua -,saya liahat seda memungut buah belimbing
tanio,tidak ada,- teaso ndoos tumoorikee,tidak seorang pi yang mengetahui
tanu,tanduk,- ngginiku nggirc mendaa,tanduk kerbau itu pa jang
tapula'usa,tangga,kahai ito - ng ro'o,singkirkan tangga itu
tapurai,dahi,i - no laa oselo,di ¢ hinya ada tahi lalat
"tara, metara berkelahi",(ayam),ma meeto laa -,ayam hitam seda berkelahi
"tarai, anotaraiiro",diusirnya,ikirot,
