kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
mamboko,"masakan, mana boleh",iee ano taonggo ehe,masakan ia tak akan mau
mamburu,berontak,kioki no asobita sorodadu maa -,tidak sedikit pasukan yang berontak
mami,kami,wonua -,daerah kami
mani,mani,- waa,mani encer
mangaribi,magrib,sambahea -,sembahyang magrib
lmano,bahkan,kioki nobenda,"- tekuhaninokaa, tidak berkurang, bahkan sebaliknya"
mano,biar,- laa mokole dumagai keika pinoko alo,biar ada raja yang jaga dapat saja diambil
mano,padahal,ieyee laika ehe umewa - korano tambuito,"ia masih mau melawan, padahal kekuatannya sudah tidak ada"
mano,sebab,no umiia - motuku,ia menangis sebab taku
mano,tetapi,laa purundawa - asobita,"ada sayur, tetapi sedikit"
manu,ayam,bita,"ada sayur, tetapi sedikit"
manu,ayam,- fama,ayam jantan
manu-manu,burung-burung,saa,
maria,meriam,asombola -,satu potong (pucuk) meriam
marisa,merica,iee umusa -,ia menumbuk merica
maroa,ramai,- no toono leu,ramai orang datang
merugi,merugi,malabi meamboino -,lebih baiklah merugi
masai,sekalinya,- leu owoseehaitoka'a,sekalinya datang dia sudah besar
masa'i,tiba-tiba,- lau-launo melosiako,tiba-tiba dia langsung melompat
masigi,mesjid,no lumako nggare ari -,dia berjalan kaki dari mesjid
masina,mesin,arino lumuwi'i - no,sudah dia meminyaki mesinnya
masina,mboseua mesin jahit,mooli -,membeli mesin jahit
samata-mata,semata-mata,sinuano - nggo powada ohala hasilnya semata-mata untuk pembayaran,
matindu,pasti,inae-nae mesida mepokoridau - nggo pindara,siapasiapa rajin belajar pasti dia pintar
nopepate'i,dimatikan,nggiro'o o api - i Bio,api itu dimatikan Bio
anomate,hingga mati,dunggu i laikano i lakonoto metobo dowo -,"sampai di rumahnya, lalu (ia) menikam diri hingga mati"
anomateecha,supaya mati,atopondunu'i le'esu i Batulu - kita bakar Batulu supaya mati,
mateembe,bagimana,- inehemu,yang bagaimana kau suka?
matuo,"tua, yang dituakan, yang dihormatai",toono -,"orang yang dihormati, orang yang dituakan jabatannya"
mbaa,"koe kenapa, mengapa",- haimu i hawi,mengapa adikmu kemarin?
lmbada,lalang,i nau sumolonggeekee i tonga -,ke sana menumpahkan di tengah lalang
mbada,padang,i tonga -,di tengah padang
mbakoe,"kenapa, mengapa",- ilaa masusa,mengapa kau susah?
mbarai,jangan,- merare,jangan cepat
mbaraito,jangan terlalu,- maindo to lako,"jangan terlalu, mari kita pergi"
"mbate, membate",nyenyak,i hawi ih. ro moiso - i kita,kemarin mereka tidur nyenyak di sana
mbeeto,di manakah,- lahamu mo'ia,di manakah kautinggal?
mbe,mereka,- leu aro amba mbelako,"mereka datang, lalu pergi"
"mbe, mbe-mbe",mari-mari,- aku poi-poindi'i,mari-mari saya pegang-pegang!
"mbe, mombe",bermain,hairo - da-,
"mbedi, mombedi",membidik,lako manu-manu,pergi menbidik burung-burung
mbekule,kembali,hohorarai noleu -,ramai tepuk tangan ketika dia datang kembali
mbena,belaka,ihino laika nggiro'o omere -,penghuni rumah itu perempuan belaka
mbe'oru,cepat,to - lako,kita cepat pergi
mbinasabu,berani,dalo-dalo -,anak anak berani
mbinutarapo,diputar,- ano'ambi,
mbuiwoi,buaya,i konawe'ehe laa -,di sungai Konawe'ehe ada buaya
mbule,pulang,merare -,pulang cepat
mbembule,pulang,dungguna wotu nggo madumaa iepo ro setelah tiba waktu berjumat baru mereka pulang,
anombule,dia pulang,- me 'asikee i tundulaho,dia pulang menyembunyikan di ujung kasau rumah
anombule,lalu pulang,lakonoto mowe'i inea - i bangga,diberikanlah pinang lalu pulang ke perahu
mbuoki,(= tambuoki) tidak ada,oleo minggu - masikola,tidak ada yang bersekolah hari Minggu
mbusopu,tukang besi,tewali -,jadi tukang besi
mbusu,bukit,i wawo -,di atas bukit
mbupuu,sekalipun,mano onggo pinepate - i ee ta onggo ehe,walau akan dibunuh sekalipun. ia tidak akan mau
mbuu,pohon,- taipa nggiro''o motuo,pohon mangga itu besar
mbu'upu'u,tidak mau sama sekali,totaha dalo-dahlo kioki - tie,"anak-anak menjawab, tidak mau sama sekali"
"mea, momea",merah,ano - iwoino,supaya merah airnya
mea-mea,bibi lipstik,luale nggiro'o me -,gadis itu memakai lipstik
nimeamboako,kebaikan,meomenaano ine ineheno - luwuako,sesungguhnya yang diinginkannya ialah kebaikan bersama
anomeambo,dia baik,io'ipo ona - penaona,barulah baik harinya (gembira)
mebinda,"berangkat, bertolak",teipia ano ehe -,kapan ia mau berangkat
"medato, medatoakoito",tenggelam,manasa tondo'ito -,pasti tenggelamlah turun ke dasar
"kameemeenaa, meenaano",kebenaran,- ponaano ro peehe ito toono,kebenaran pendapatnya sudah disetujui oleh orang
meenaano,sebenarnya,- i ama motuo ito,sebenarnya ayah sudah tua
mombeemeena,membenar-benar,iee - ronga mangaku sameena no iee tehoa,ia membenar-benar mengaku terus terang bahwa ia ribut
meena'i,betul,- no leu,betul dia datang
meengge,"ganteng, cantik",- ko hendeka anawai,engkau cantik seperti bidadari
meia,nyaring,mbakoe taano - nggituo radio,mengapa tidak nyaring bunyi radio itu?
"meka, momeka-meka",memancing,lakoano i batulu -,batulu pergi memancing
mekui,cukur,moramba,"-, monggui, kinui, mengasah, cukur, mencukur, dicukur"
memarasai,miskin (banyak),noluwako banggonanggu - iro to,sudah miskin semua temanku
membate,nyenyak,iee moise -,ia tidur nyenyak
mendaa,panjang,- ako elono,panjang sekali lidahnya
mendadi,mancung,- ako engeno,hidungnya mancung sekali
mendaku,gendut,- tiano,gendut perutnya
mendee,mentang-mentang,- no ka wasa,"i ee nokolupeito kambono, mentang-mentang ia kaya, ia telah lupa akan kampungnya"
mendidoha,sehat,lahiroikaa -,me reka masih sehat
mendua,kembali,ano loso -,di muncul kembali
mengga,"fajar, siang",- no ika ano mbule,"setelah siang, dia pulang"
nomenggau,terlalu lama,- umoolui atoro laa muolaoone,terlalu lama menunggu mobil yang sedang memuat pasir
menggauito,telah larut (malam),kioki topenasai - wingi,tidak terasa telah larut malam
menggena,sama,sara tolaki ane sara bugisi kono ari -,adat orang Tolaki tidak sama dengan adat orang Bugis
"meni, momeni",berat,iamo pomboaha -,"jangan dipikul, berat!"
meo,kucing,i batulu mosembaki o -,Batulu menyepak kucing
meohai,sanak famili,laa sala oaso toono - nggo melaika,ada salah seorang sanak famili akan mendirikan rumah
"meokooi, peokooi",bena,anamotuono - anandonia nggiro'o orang tuanya bena kepada anak muda,
meomenaano,bahwasanya,- ine ineheno nimeamboako luwuako,bah-
merare,segera,nooro'onggo membule -,mereka akan pulang segera
mererehu,duduk,i bio - ne watu,Bio duduk di batu
pombemeriri,belas,loso - akono kumikii anadalo nggiro.o,timbul belas kasihan melihat anak itu
mesida-mesidaki,rajin,keupo'ia Tolohoru au -,kalau engkau (Tolohoru) tinggal engkau harus rajin
mesoe,bergantung,nolaa - nekasu,dia sementara bergantung di kayu
metarambuu,sejak,nolaa mohewa ano mongara,sejak (ia) kecil ia
metia,bagi,ro dului leesu ato amba-,"kita gabung dulu, kemudian kita bagi"
metootoono,diam,no amba ona -,dia lalu diam
metudai,dekat,- i keni,dekat di sini
"mia, momia-mia",amis,- niino tiolu,amis telur ini
mina,minyak,tanda - tana,minyak tanah yang tidak baik
mina,tana minyak tanah,bitolo -,botol minyak tanah
mina'u,ke bawah,petuhato -,turunlah ke bawah!
mina'u,di sana,leu -,datang di sana
minggu,minggu,pato -,empat minggu
"mite, momite",pucat,mendodano raino no -,tampak sekali mukanya pucat
"miu, arfiamiu asal",tuan,imbe'i ronga nggobutuamiu,di mana asal dan tujuan Tuan
"miuki, moniu-miuki",bergerak-gerak,maa - taa no ehe,sedangkan bergerak-gerak ia tidak mau
"moare, anomoare supaya",kering,monggopio pera -,berapa kalikah
moduduhi,lain kali,okinopo - mc gondi taratasi,lain kali dia tida akan lagi menggunting kertas
mohai,hangus,- laikano i haw hangus rumahnya kemarin malar,
"molua, anomolualuaasiki supaya",luasluas,maa kiikiki'i -,"ya, lihat-lihatlah supaya luas-luas"
molulo,nama tarian adat,waipode -,gadis menari tarian Molulo
momata,mentah,- dahu kinaamu,nasimu mentah sekali
momea,merah,babu -,baju merah
anomomea,supaya merah,- iwoino,supaya merah airnya
monaa,simpan,no ari leu - hapohapo,dia sudah datang menyimpan barang-barang
monda'e,jauh,- dahu,jauh sekali
monda-monda'e,jauh-jauh,hiro mekalikaa taipa nggiro'o - mereka melemparkan mangga itu jauh-jauh,
mondehori,pernah,ali kioki - lako mondae,Ali tidak pernah bepergian jauh
mondele,dangkal,- i woi kolaka,air sungai Kolaka dangkal
lmonda,penuh,dunggu aso wula -,sampai satu bulan penuh
do,pura-pura,lakonoto - tu i laikano,lalu dia pura-pura pendiam di rumahnya
mongare,malas,foono nggiroo -,orang itu malas
monggaso,tajam,ano - u rambai opade,sampai tajam kausah parang
"monggelu, monggeluako",bengkak,fukono ipue - kulano oleo,tongkat nenek menjadi bengkak kena panas
monggo,kali,- pio,berapa kali
"mone, momone",memanjat,no laa kaluku,sementara dia memanjat kelapa
"monio, anomomoniokoto terlalu",lambat,mbako'i inggo'o -,mengapa engkau terlalu lambat?
moopu,"hanyut, mati lemas",lulondo ito mate mo - ihawi,sudah terapung mayat yang hanyut kemarin
moroa,bersih,ana dalo nggiro'o pekiiano - sawatuu,anak itu keli-
moroa'a,kebersihan,kinaa pipineoliako nggiro'o matandu no -. makanan yang dijual itu kebersihannya terjamin,
mooru-oru,pagi-pagi,loso ito oleo -,pagi-pagi matahari sudah terbit
morekooha,keruh sekali,- niino iwoi,air ini keruh sekali
morere,pedas,- mbupu'u,pedan sekali '
"morome, anomorome supaya",subur,- pinopahono,supaya subur tanamannya
"mororo, moro-mororo",kuat-kuat,pepoindi ano - kuonggo lumaa,"pegang kuat-kuat, saya akan terbang"
morunggu,sakit,tepopowula-wulato no -,sudah berbulan-bulan dia sakit
morusu,kurus,molito wotolumu tembuu u -,ringan badanmu selama kau kurus
mosaa,marah,hende-hendeno - unemu,agaknya kamu marah (hatimu)
mosaa,begeno bejat,- ana dalo nggiro'o,bejat kelakuan anak itu
mosonggi,nama sejenis makanan yang terbuat dari sagu,opuno kinaa lakonoto -,"habis nasi, lalu makan pepeda"
motaha,masak,- po taipo ato amba sumudoi,"nanti sesudah mangga itu masak, baru kita jolok"
motai,biru,babu -,baju biru
mototai,membiru,- hende barino lahuene,membiru seperti warna langit
mokomotaii,membirukan,inggoo - kee saluarono haimu,engkau harus membirukan warna celana adikmu
motai-motai,kebiru-biruan,- barino saluarono i ama,kebiru-biruan warna celana ayah
motia,intan,- nggu laa aso wuku,intanku satu butir
motia,permata,niino - o wose,per-
motoro,motor,laa'ito - no haino,sudah ada motor adiknya
motunggo,mahal,mano - asala no meambo,"biar mahal, asal ia bagus"
motuo,tua,mo - nggiro'o momani,yang tua itu manis
anamotuo,anak tua,inggoo engkau anak tua,
mowaka,luka,mahio no - laalaa ieka lakono,"meskipun luka, ia terus berjalan juga"
mowete,nama daerah,to lako mebaho i -,kita pergi mandi di kali Owewe
mowindu,bising,- piilo biringgu moedeaikoo tuluramu,bising telinggaku mendengar perkataanmu itu
mowingi,pagi-pagi,- eho lako mondehe o balo,pagi-pagi sekali pergi menarik balok
mowowo,"mengikat, mengobat",inaku niino laa -,saya ini sedang mengikat
mumu,tandan,- no owose,tandanya besar (pisang)
mumu,puncak,i - dangge,di puncak pohon dangge
mune,sana,lako -,pergi sana
"musi, omusi",ben,- peia lalo dunggu menggau wingi,ben berbunyi terus sampai jauh malam
"musu, mamusu",berperang,maa nggo - to hende inono,maka saya akan berperanglah sekarang
"naa, monaa",simpan,no ari leu padeno,"dia sudah datang, simpan parangnya!"
penaa,disimpan,ne randa - no kinaano o rada,di baki disimpan makanan raja
mbonahu,memasak,ariiro - lakoroto mbonggaa'a,"sesudah memasak, lalu mereka makan, monahu memasak; no laa - sementara dia memasak"
ninahu,masakan,- mu ambo dahu,masakanmu lebih baik semua
na'i,simpan,no - i wawo ndiano,"dia simpan di atas perutnya, nuna'i menyimpan"" kei.e lahaano -, pada dia tempatnya mnyimpan"
naina,"bibi, tante",no tewali dahu anano - nggu,anak bibiku cantik sekali
nanasi,nenas,no laa mongga -,sedang ia makan nenas
nangga,nangka,no ponggaa o -,dia makan nangka
"nangi, numangii",mengalahkan,tambuoki - mokorano,tidak ada yang mengalahkan kekuatannya
ninangi,dikalah,iamo penoho-hono keu -,jangan menyesal kalau
dama,(= tama) jantan,manu -,ayam jantan
"da', monda'u",berladang,luwuako toono ni'ino mota'u -,semua orang ini dapat berladang +
